date,product,price,quantity,revenue
2026-01-01,Classic Milk Tea,4.92,2,9.84
2026-01-01,Classic Milk Tea,7.1,2,14.2
2026-01-01,Classic Milk Tea,5.92,3,17.76
2026-01-01,Thai Tea,5.6,1,5.6
2026-01-01,Matcha Latte,5.92,2,11.84
2026-01-01,Classic Milk Tea,7.24,1,7.24
2026-01-01,Thai Tea,6.4,3,19.2
2026-01-01,Brown Sugar Boba,6.3,1,6.3
2026-01-01,Classic Milk Tea,5.56,1,5.56
2026-01-01,Matcha Latte,7.01,3,21.03
2026-01-01,Brown Sugar Boba,6.36,1,6.36
2026-01-01,Taro Milk Tea,5.61,2,11.22
2026-01-01,Brown Sugar Boba,5.58,1,5.58
2026-01-01,Matcha Latte,5.1,1,5.1
2026-01-01,Classic Milk Tea,5.76,2,11.52
2026-01-01,Classic Milk Tea,5.22,2,10.44
2026-01-01,Classic Milk Tea,7.08,2,14.16
2026-01-01,Thai Tea,5.64,1,5.64
2026-01-01,Thai Tea,7.31,1,7.31
2026-01-01,Taro Milk Tea,5.71,2,11.42
2026-01-01,Brown Sugar Boba,6.32,2,12.64
2026-01-01,Matcha Latte,4.69,1,4.69
2026-01-01,Thai Tea,5.62,2,11.24
2026-01-01,Matcha Latte,5.71,2,11.42
2026-01-01,Taro Milk Tea,4.79,3,14.37
2026-01-01,Thai Tea,5.6,3,16.8
2026-01-01,Brown Sugar Boba,6.22,2,12.44
2026-01-01,Brown Sugar Boba,5.54,1,5.54
2026-01-01,Brown Sugar Boba,5.5,2,11.0
2026-01-01,Thai Tea,4.66,2,9.32
2026-01-01,Taro Milk Tea,5.48,3,16.44
2026-01-01,Brown Sugar Boba,4.71,3,14.13
2026-01-01,Brown Sugar Boba,6.07,3,18.21
2026-01-01,Classic Milk Tea,4.6,2,9.2
2026-01-01,Matcha Latte,6.9,3,20.7
2026-01-01,Matcha Latte,4.98,2,9.96
2026-01-01,Matcha Latte,5.97,3,17.91
2026-01-01,Brown Sugar Boba,5.56,2,11.12
2026-01-01,Matcha Latte,7.32,1,7.32
2026-01-01,Taro Milk Tea,4.86,3,14.58
2026-01-01,Classic Milk Tea,5.26,3,15.78
2026-01-01,Taro Milk Tea,6.57,2,13.14
2026-01-01,Brown Sugar Boba,4.55,1,4.55
2026-01-01,Taro Milk Tea,7.23,3,21.69
2026-01-01,Classic Milk Tea,4.52,1,4.52
2026-01-01,Matcha Latte,5.16,1,5.16
2026-01-01,Brown Sugar Boba,6.04,2,12.08
2026-01-01,Matcha Latte,6.82,2,13.64
2026-01-02,Taro Milk Tea,4.56,1,4.56
2026-01-02,Taro Milk Tea,5.79,2,11.58
2026-01-02,Taro Milk Tea,5.59,2,11.18
2026-01-02,Brown Sugar Boba,5.81,2,11.62
